primary_focus_area,poverty_level,fully_funded
Applied Learning,high poverty,12424
Applied Learning,highest poverty,27611
Applied Learning,low poverty,1095
Applied Learning,moderate poverty,5515
Health & Sports,high poverty,4363
Health & Sports,highest poverty,9900
Health & Sports,low poverty,383
Health & Sports,moderate poverty,2112
History & Civics,high poverty,7810
History & Civics,highest poverty,16956
History & Civics,low poverty,705
History & Civics,moderate poverty,3971
Literacy & Language,high poverty,70766
Literacy & Language,highest poverty,166015
Literacy & Language,low poverty,6065
Literacy & Language,moderate poverty,36943
Math & Science,high poverty,41483
Math & Science,highest poverty,83029
Math & Science,low poverty,4516
Math & Science,moderate poverty,22665
Music & The Arts,high poverty,14420
Music & The Arts,highest poverty,33355
Music & The Arts,low poverty,1389
Music & The Arts,moderate poverty,6788
Special Needs,high poverty,10656
Special Needs,highest poverty,21443
Special Needs,low poverty,1115
Special Needs,moderate poverty,5797
