source,target,value
Applied Learning,High Poverty,12424
Applied Learning,Highest Poverty,27611
Applied Learning,Low Poverty,1095
Applied Learning,Moderate Poverty,5515
Health & Sports,High Poverty,4363
Health & Sports,Highest Poverty,9900
Health & Sports,Low Poverty,383
Health & Sports,Moderate Poverty,2112
History & Civics,High Poverty,7810
History & Civics,Highest Poverty,16956
History & Civics,Low Poverty,705
History & Civics,Moderate Poverty,3971
Literacy & Language,High Poverty,70766
Literacy & Language,Highest Poverty,166015
Literacy & Language,Low Poverty,6065
Literacy & Language,Moderate Poverty,36943
Math & Science,High Poverty,41483
Math & Science,Highest Poverty,83029
Math & Science,Low Poverty,4516
Math & Science,Moderate Poverty,22665
Music & The Arts,High Poverty,14420
Music & The Arts,Highest Poverty,33355
Music & The Arts,Low Poverty,1389
Music & The Arts,Moderate Poverty,6788
Special Needs,High Poverty,10656
Special Needs,Highest Poverty,21443
Special Needs,Low Poverty,1115
Special Needs,Moderate Poverty,5797
